[INFO]      20220728_21:09:33.020 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_21:11:21.966 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_21:11:21.966 | ACCSvc | OnSessionChange | event_type 3 event_data 3
[INFO]      20220728_21:11:21.997 | ACCSvc | OnSessionChange | WTS_REMOTE_CONNECT
[INFO]      20220728_21:11:21.997 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_21:11:27.607 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_21:11:27.607 | ACCSvc | OnSessionChange | event_type 6 event_data 2
[INFO]      20220728_21:11:27.622 | ACCSvc | OnSessionChange | WTS_SESSION_LOGOFF
[INFO]      20220728_21:11:27.638 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_21:11:27.779 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_21:11:27.794 | ACCSvc | OnSessionChange | event_type 2 event_data 2
[INFO]      20220728_21:11:27.810 | ACCSvc | OnSessionChange | WTS_CONSOLE_DISCONNECT
[INFO]      20220728_21:11:27.826 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_21:11:27.841 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_21:11:27.857 | ACCSvc | OnSessionChange | event_type 4 event_data 3
[INFO]      20220728_21:11:27.888 | ACCSvc | OnSessionChange | WTS_REMOTE_DISCONNECT
[INFO]      20220728_21:11:27.888 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_21:11:28.060 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_21:11:28.060 | ACCSvc | OnSessionChange | event_type 1 event_data 3
[INFO]      20220728_21:11:28.060 | ACCSvc | OnSessionChange | WTS_CONSOLE_CONNECT
[INFO]      20220728_21:11:28.060 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_21:11:28.122 | ACCSvc | OnPowerEvent | OnPowerEvent Enter
[INFO]      20220728_21:11:28.122 | ACCSvc | OnPowerEvent | event_type 4 event_data 0
[INFO]      20220728_21:11:28.122 | ACCSvc | OnPowerEvent | PBT_APMSUSPEND
[INFO]      20220728_21:11:28.122 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_23:19:01.264 | ACCSvc | OnPowerEvent | OnPowerEvent Enter
[INFO]      20220728_23:19:01.264 | ACCSvc | OnPowerEvent | event_type 12 event_data 0
[INFO]      20220728_23:19:01.264 | ACCSvc | OnPowerEvent | PBT_APMRESUMEAUTOMATIC
[INFO]      20220728_23:19:01.264 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_23:19:01.280 | ACCSvc | OnPowerEvent | OnPowerEvent Enter
[INFO]      20220728_23:19:01.280 | ACCSvc | OnPowerEvent | event_type 7 event_data 0
[INFO]      20220728_23:19:01.280 | ACCSvc | OnPowerEvent | PBT_APMRESUMESUSPEND
[INFO]      20220728_23:19:01.280 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_23:19:01.829 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_23:19:01.829 | ACCSvc | OnSessionChange | event_type 5 event_data 3
[INFO]      20220728_23:19:01.829 | ACCSvc | OnSessionChange | WTS_SESSION_LOGON
[INFO]      20220728_23:19:01.829 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220729_00:39:17.093 | ACCSvc | OnSessionChange | OnSessionChange Enter
